train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/entropy_loss,time/fps,rollout/ep_rew_mean,train/approx_kl,time/total_timesteps,time/iterations,train/learning_rate,time/time_elapsed,train/n_updates,train/loss,rollout/ep_len_mean
0.0,0.0,nan,9244.7572265625,0.2,-7.491083002090454,3,-77.66666666666667,2.9802322e-08,10,5,0.0003,2,40,4601.0087890625,1.1111111111111112
0.0,0.0,nan,8641.37705078125,0.2,-7.491075706481934,6,-89.42105263157895,0.0,20,10,0.0003,2,90,4302.79443359375,1.0526315789473684
0.0,0.0,nan,8330.45791015625,0.2,-7.491075658798218,9,-93.06896551724138,0.0,30,15,0.0003,3,140,4153.9033203125,1.0344827586206897
0.0,0.0,nan,8100.259814453125,0.2,-7.491076469421387,11,-94.84615384615384,0.0,40,20,0.0003,3,190,4040.53466796875,1.0256410256410255
0.0,0.0,nan,7895.542822265625,0.2,-7.491076469421387,13,-95.89795918367346,0.0,50,25,0.0003,3,240,3938.8994140625,1.0204081632653061
0.0,0.0,nan,7703.03896484375,0.2,-7.491076469421387,14,-96.59322033898304,0.0,60,30,0.0003,4,290,3843.056396484375,1.0169491525423728
0.0,0.0,nan,7518.05185546875,0.2,-7.491076469421387,16,-97.08695652173913,0.0,70,35,0.0003,4,340,3750.84033203125,1.0144927536231885
0.0,0.0,nan,7338.457861328125,0.2,-7.491076469421387,17,-97.45569620253164,0.0,80,40,0.0003,4,390,3661.254638671875,1.0126582278481013
0.0,0.0,nan,7163.134375,0.2,-7.491076469421387,18,-97.74157303370787,0.0,90,45,0.0003,4,440,3573.76708984375,1.0112359550561798
0.0,0.0,nan,6991.42099609375,0.2,-7.491076469421387,19,-97.96969696969697,0.0,100,50,0.0003,5,490,3488.061279296875,1.0101010101010102
0.0,0.0,nan,6822.897509765625,0.2,-7.491076469421387,15,-100.0,0.0,110,55,0.0003,7,540,3403.935791015625,1.0
0.0,0.0,nan,6722.210693359375,0.2,-7.4909117221832275,15,-97.99,2.9802322e-08,120,60,0.0003,7,590,3353.895751953125,1.01
0.0,0.0,nan,6559.49638671875,0.2,-7.490901088714599,16,-97.99,0.0,130,65,0.0003,7,640,3272.441650390625,1.01
0.0,0.0,nan,6398.30478515625,0.2,-7.490900993347168,17,-97.99,0.0,140,70,0.0003,8,690,3191.95751953125,1.01
0.0,0.0,nan,6239.571435546875,0.2,-7.490900993347168,17,-97.99,0.0,150,75,0.0003,8,740,3112.69970703125,1.01
0.0,0.0,nan,6083.210986328125,0.2,-7.490900993347168,18,-97.99,0.0,160,80,0.0003,8,790,3034.6240234375,1.01
0.0,0.0,nan,5929.1533203125,0.2,-7.490900993347168,18,-97.99,0.0,170,85,0.0003,8,840,2957.697509765625,1.01
0.0,0.0,nan,5777.34111328125,0.2,-7.490900993347168,19,-97.99,0.0,180,90,0.0003,9,890,2881.89111328125,1.01
0.0,0.0,nan,5627.7291015625,0.2,-7.490900993347168,19,-97.99,0.0,190,95,0.0003,9,940,2807.183349609375,1.01
-0.0702702522277832,0.2,-7.510185241699219e-06,11401.63330078125,0.2,-7.490851926803589,17,-95.98,0.033629358,200,100,0.0003,11,990,5700.81689453125,1.02
0.0,0.0,nan,5392.537841796875,0.2,-7.490208959579467,17,-95.98,2.9802322e-08,210,105,0.0003,11,1040,2689.810546875,1.02
0.0,0.0,nan,5248.86181640625,0.2,-7.490202188491821,18,-97.99,0.0,220,110,0.0003,12,1090,2618.000732421875,1.01
0.0,0.0,nan,5106.94609375,0.2,-7.490201473236084,18,-97.99,0.0,230,115,0.0003,12,1140,2547.135986328125,1.01
0.0,0.0,nan,4967.094091796875,0.2,-7.490201473236084,19,-97.99,0.0,240,120,0.0003,12,1190,2477.302490234375,1.01
0.0,0.0,nan,4829.290380859375,0.2,-7.490201473236084,19,-97.99,0.0,250,125,0.0003,12,1240,2408.491943359375,1.01
0.0,0.0,nan,4693.519482421875,0.2,-7.490201473236084,19,-97.99,0.0,260,130,0.0003,13,1290,2340.6982421875,1.01
0.0,0.0,nan,4559.76923828125,0.2,-7.490201473236084,20,-97.99,0.0,270,135,0.0003,13,1340,2273.913330078125,1.01
0.0,0.0,nan,4428.02890625,0.2,-7.490201473236084,20,-97.99,0.0,280,140,0.0003,13,1390,2208.133544921875,1.01
0.0,0.0,nan,4298.28779296875,0.2,-7.490201473236084,20,-97.99,0.0,290,145,0.0003,14,1440,2143.352783203125,1.01
0.0,0.0,nan,4219.035595703125,0.2,-7.489829444885254,18,-97.99,2.9802322e-08,300,150,0.0003,15,1490,2104.261962890625,1.01
0.0,0.0,nan,4094.8521728515625,0.2,-7.48976731300354,19,-97.99,0.0,310,155,0.0003,16,1540,2041.7811279296875,1.01
0.0,0.0,nan,3970.3010498046874,0.2,-7.489768028259277,19,-97.99,0.0,320,160,0.0003,16,1590,1979.5919189453125,1.01
0.0,0.0,nan,3847.7088623046875,0.2,-7.489768028259277,19,-97.99,0.0,330,165,0.0003,16,1640,1918.38427734375,1.01
0.0,0.0,nan,3727.081005859375,0.2,-7.489768028259277,20,-97.99,0.0,340,170,0.0003,16,1690,1858.15869140625,1.01
0.0,0.0,nan,3653.44736328125,0.2,-7.489507102966309,19,-95.98,2.9802322e-08,350,175,0.0003,18,1740,1821.8421630859375,1.02
0.0,0.0,nan,3538.1537841796876,0.2,-7.4894873142242435,19,-95.98,0.0,360,180,0.0003,18,1790,1763.838623046875,1.02
0.0,0.0,nan,3422.6342529296876,0.2,-7.4894866943359375,19,-95.98,0.0,370,185,0.0003,18,1840,1706.1646728515625,1.02
0.0,0.0,nan,3309.051611328125,0.2,-7.4894866943359375,19,-95.98,0.0,380,190,0.0003,19,1890,1649.460693359375,1.02
0.0,0.0,nan,3197.411962890625,0.2,-7.4894866943359375,20,-95.98,0.0,390,195,0.0003,19,1940,1593.7281494140625,1.02
0.0,0.0,nan,3087.7124267578124,0.2,-7.4894866943359375,20,-97.99,0.0,400,200,0.0003,19,1990,1538.9656982421875,1.01
0.0,0.0,nan,2979.9508056640625,0.2,-7.4894866943359375,20,-97.99,0.0,410,205,0.0003,19,2040,1485.1719970703125,1.01
0.0,0.0,nan,2874.1239990234376,0.2,-7.4894866943359375,20,-97.99,0.0,420,210,0.0003,20,2090,1432.345458984375,1.01
0.0,0.0,nan,2770.2295166015624,0.2,-7.4894866943359375,21,-97.99,0.0,430,215,0.0003,20,2140,1380.4852294921875,1.01
0.0,0.0,nan,2668.265234375,0.2,-7.4894866943359375,21,-97.99,0.0,440,220,0.0003,20,2190,1329.58984375,1.01
0.0,0.0,nan,2568.229052734375,0.2,-7.4894866943359375,21,-100.0,0.0,450,225,0.0003,20,2240,1279.6585693359375,1.0
0.0,0.0,nan,2470.119482421875,0.2,-7.4894866943359375,21,-100.0,0.0,460,230,0.0003,21,2290,1230.6904296875,1.0
0.0,0.0,nan,2373.9335693359376,0.2,-7.4894866943359375,20,-97.99,0.0,470,235,0.0003,22,2340,1182.6839599609375,1.01
-0.07560071051120758,0.25,-1.1920928955078125e-07,21471.9271484375,0.2,-7.489209413528442,20,-95.98,0.03785032,480,240,0.0003,23,2390,10736.0,1.02
0.0,0.0,nan,2293.1707763671875,0.2,-7.488415908813477,19,-93.97,0.0,490,245,0.0003,25,2440,1143.4290771484375,1.03
-0.07665330469608307,0.25,0.0,21419.435546875,0.2,-7.488399600982666,19,-91.96,0.04021114,500,250,0.0003,26,2490,10709.9453125,1.04
0.0,0.0,nan,2150.7483642578127,0.2,-7.48806586265564,19,-91.96,0.0,510,255,0.0003,26,2540,1071.3409423828125,1.04
0.0,0.0,nan,2061.3111083984377,0.2,-7.4880555152893065,19,-91.96,0.0,520,260,0.0003,26,2590,1026.66748046875,1.04
-0.07753236889839173,0.25,0.0,21308.3845703125,0.2,-7.488036441802978,18,-89.95,0.041707605,530,265,0.0003,28,2640,10654.4345703125,1.05
0.0,0.0,nan,1921.6819458007812,0.2,-7.4874067306518555,19,-89.95,0.0,540,270,0.0003,28,2690,957.0297241210938,1.05
0.0,0.0,nan,1837.2169189453125,0.2,-7.487394189834594,19,-89.95,0.0,550,275,0.0003,28,2740,914.844482421875,1.05
0.0,0.0,nan,1754.4745971679688,0.2,-7.487394332885742,19,-89.95,0.0,560,280,0.0003,28,2790,873.5592041015625,1.05
0.0,0.0,nan,1673.6432495117188,0.2,-7.487394332885742,18,-87.94,0.0,570,285,0.0003,30,2840,833.2294921875,1.06
0.0,0.0,nan,1625.5536010742187,0.2,-7.487078619003296,19,-89.95,5.9604645e-08,580,290,0.0003,30,2890,809.3400268554688,1.05
0.0,0.0,nan,1577.7290893554687,0.2,-7.486762952804566,18,-91.96,0.0,590,295,0.0003,31,2940,785.669189453125,1.04
0.0,0.0,nan,1502.5437866210937,0.2,-7.486739730834961,18,-91.96,0.0,600,300,0.0003,31,2990,747.870849609375,1.04
0.0,0.0,nan,1427.8390869140626,0.2,-7.4867401123046875,18,-93.97,0.0,610,305,0.0003,32,3040,710.6027221679688,1.03
0.0,0.0,nan,1355.0371826171875,0.2,-7.4867401123046875,19,-93.97,0.0,620,310,0.0003,32,3090,674.2877807617188,1.03
0.0,0.0,nan,1284.1440551757812,0.2,-7.4867401123046875,19,-93.97,0.0,630,315,0.0003,32,3140,638.9270629882812,1.03
0.0,0.0,nan,1215.15927734375,0.2,-7.4867401123046875,19,-95.98,0.0,640,320,0.0003,32,3190,604.5203857421875,1.02
0.0,0.0,nan,1148.0828002929688,0.2,-7.4867401123046875,19,-95.98,0.0,650,325,0.0003,34,3240,571.0684814453125,1.02
0.0,0.0,nan,1108.3321533203125,0.2,-7.485233354568481,19,-93.97,2.9802322e-08,660,330,0.0003,34,3290,551.3298950195312,1.03
0.0,0.0,nan,1044.7266235351562,0.2,-7.485181856155395,19,-93.97,0.0,670,335,0.0003,34,3340,519.5279541015625,1.03
0.0,0.0,nan,982.6118225097656,0.2,-7.48518180847168,19,-95.98,0.0,680,340,0.0003,35,3390,488.5556945800781,1.02
0.0,0.0,nan,922.4008728027344,0.2,-7.48518180847168,19,-97.99,0.0,690,345,0.0003,35,3440,458.53594970703125,1.01
0.0,0.0,nan,864.0950256347656,0.2,-7.48518180847168,19,-97.99,0.0,700,350,0.0003,35,3490,429.4688720703125,1.01
0.0,0.0,nan,807.6948791503906,0.2,-7.48518180847168,19,-97.99,0.0,710,355,0.0003,35,3540,401.3545837402344,1.01
-0.07775497436523438,0.3,-1.1920928955078125e-06,15842.359375,0.2,-7.4851478099822994,19,-95.98,0.044490308,720,360,0.0003,36,3590,7921.3994140625,1.02
0.0,0.0,nan,739.5809326171875,0.2,-7.478816032409668,19,-93.97,1.1920929e-07,730,365,0.0003,38,3640,368.0011901855469,1.03
0.0,0.0,nan,690.3075561523438,0.2,-7.4779870986938475,19,-93.97,0.0,740,370,0.0003,38,3690,342.8524169921875,1.03
-0.07810814380645752,0.3,0.0,20685.923046875,0.2,-7.4760924816131595,18,-89.95,0.045836598,750,375,0.0003,40,3740,10342.603515625,1.05
0.0,0.0,nan,630.0722045898438,0.2,-7.46862564086914,18,-91.96,2.9802322e-08,760,380,0.0003,41,3790,312.8583068847656,1.04
0.0,0.0,nan,582.1690490722656,0.2,-7.468556118011475,18,-91.96,0.0,770,385,0.0003,41,3840,288.9690856933594,1.04
-0.08154520988464356,0.3,-9.5367431640625e-07,16459.2638671875,0.2,-7.467273950576782,18,-89.95,0.055039674,780,390,0.0003,42,3890,8229.873046875,1.05
0.0,0.0,nan,524.5781860351562,0.2,-7.447955226898193,17,-87.94,2.9802322e-08,790,395,0.0003,43,3940,260.78253173828125,1.06
0.0,0.0,nan,483.22084045410156,0.2,-7.447730445861817,18,-87.94,0.0,800,400,0.0003,44,3990,239.68557739257812,1.06
0.0,0.0,nan,455.6280242919922,0.2,-7.446684885025024,17,-85.93,5.9604645e-08,810,405,0.0003,45,4040,226.39108276367188,1.07
0.0,0.0,nan,417.05458374023436,0.2,-7.4461816310882565,17,-85.93,-5.9604645e-08,820,410,0.0003,45,4090,206.7393341064453,1.07
0.0,0.0,nan,378.18470764160156,0.2,-7.446179389953613,18,-89.95,0.0,830,415,0.0003,46,4140,187.38783264160156,1.05
0.0,0.0,nan,350.17090759277346,0.2,-7.418057918548584,17,-87.94,9.983778e-06,840,420,0.0003,47,4190,174.57269287109375,1.06
0.0,0.0,nan,319.9060546875,0.2,-7.398545503616333,17,-89.95,0.0,850,425,0.0003,47,4240,158.39112854003906,1.05
0.0,0.0,nan,285.9995635986328,0.2,-7.398427486419678,17,-89.95,0.0,860,430,0.0003,48,4290,141.51805114746094,1.05
-0.106070277094841,0.6,nan,274.2747528076172,0.2,-7.208636522293091,16,-85.93,0.1414851,870,435,0.0003,51,4340,136.58447265625,1.07
0.0,0.0,nan,271.0110717773438,0.2,-6.498246526718139,16,-83.92,4.8428774e-05,880,440,0.0003,52,4390,134.45587158203125,1.08
-0.076676344871521,0.25,-1.0728836059570312e-06,17578.5279296875,0.2,-5.737539958953858,15,-79.9,0.058823854,890,445,0.0003,55,4440,8788.904296875,1.1
-0.09421198964118957,0.45,nan,266.0832550048828,0.2,-3.7997129440307615,15,-75.88,0.2765941,900,450,0.0003,59,4490,132.8529815673828,1.12
-0.0593166708946228,0.25,-1.0728836059570312e-06,17422.891015625,0.2,-4.236825227737427,14,-67.84,0.052073896,910,455,0.0003,63,4540,8704.0166015625,1.16
-0.00020080804824829102,0.0,-1.1920928955078125e-06,17388.3533203125,0.2,-3.1474411487579346,13,-61.81,3.3020973e-05,920,460,0.0003,68,4590,8687.615234375,1.19
-0.055395889282226565,0.25,-5.960464477539062e-07,20511.7802734375,0.2,-2.1667853355407716,12,-53.77,0.059102833,930,465,0.0003,73,4640,10247.7568359375,1.23
-9.839236736297607e-05,0.0,-7.152557373046875e-07,20527.9359375,0.2,-1.8769004821777344,11,-43.72,9.536743e-07,940,470,0.0003,78,4690,10255.9560546875,1.28
-0.0002659708261489868,0.0,-1.1920928955078125e-06,20545.0431640625,0.2,-1.975986623764038,11,-33.67,4.440546e-06,950,475,0.0003,84,4740,10264.5517578125,1.33
0.000316581130027771,0.0,-1.1920928955078125e-06,20563.1064453125,0.2,-1.4516852259635926,10,-23.62,5.531311e-05,960,480,0.0003,88,4790,10273.62890625,1.38
0.000556221604347229,0.0,-1.3113021850585938e-06,16695.400390625,0.2,-1.8594860553741455,10,-13.57,0.00013077259,970,485,0.0003,93,4840,8340.8955078125,1.43
9.444355964660644e-06,0.0,-5.960464477539062e-07,20593.9841796875,0.2,-1.5023899912834167,9,-5.53,3.5762787e-06,980,490,0.0003,99,4890,10289.13671875,1.47
-0.000680968165397644,0.0,-8.344650268554688e-07,16460.68671875,0.2,-2.5468928813934326,9,0.5,9.152293e-05,990,495,0.0003,103,4940,8224.0400390625,1.5
-0.0015401840209960938,0.0,-1.430511474609375e-06,20627.30234375,0.2,-2.671624231338501,9,10.55,0.0005530715,1000,500,0.0003,107,4990,10305.865234375,1.55
0.0,0.0,nan,609.3374877929688,0.2,-1.9263882637023926,9,18.59,0.0035016835,1010,505,0.0003,111,5040,304.72576904296875,1.59
-5.609393119812012e-05,0.0,-1.0728836059570312e-06,16199.073828125,0.2,-1.559196698665619,8,26.63,5.9604645e-08,1020,510,0.0003,115,5090,8094.49462890625,1.63
